대본	장면	사이즈	자막	코멘트
안녕하세요, 디디딧입니다.	거실 테이블에 놓인 아이디어 탭 11	MS		
지난주에 리뷰했던 레드미 패드 2 9.7,	컷 유지	컷 유지		
그 제품보다 확실히 괜찮은 태블릿을 들고 왔습니다.	기기를 들고 정면을 보여주는 컷	CU		
바로 레노버 아이디어 탭 11이고, 8기가 램에 펜까지 기본 제공되죠.	전용 펜을 옆에 두고 보여주는 컷	CU	8GB·펜 포함	
그럼 바로 리뷰 시작하겠습니다.	디스플레이 전원을 켜는 모습	CU		
[디자인 및 폼펙터]				
루나 그레이 매트 마감, 480g·11인치·두께 6.99mm입니다.	기기 후면과 측면 실루엣을 보여주는 컷	CU	480g·11인치	
전면 2.5K·500니트·90Hz, 매트 코팅 저반사 패널이 적용됐죠.	고화질 영상 재생과 창가 화면을 비추는 컷	CU	2.5K/500nit/90Hz	고화질 영상 세팅
칩셋 디멘시티 6300, 램 8기가·내장 128기가, SD 최대 2테라까지요.	시스템 정보 창과 SD 슬롯을 보여주는 컷	CU	Dimensity 6300·2TB	유심 핀 세팅
배터리 7040mAh, USB-C 20W 충전, 하단 단자 1개·4스피커 구성입니다.	단자부·스피커 홀·배터리 아이콘을 보여주는 컷	CU	7040mAh·4스피커	
전·후면 5MP·8MP 싱글 렌즈가 탑재됐습니다.	전·후면 렌즈 위치를 짧게 보여주는 컷	CU	5MP/8MP	
[실사용 및 한계점]				
매트 패널이라 필기할 때 눈이 편하고, 소파에서 봐도 빛 반사가 적습니다.	펜 필기와 소파에서 보는 풀샷을 이어 보여주는 컷	WS	매트 패널 필기감	메모 앱 세팅
전용 펜은 기본 구성품이고, 내부에 AAAA 건전지 1개가 들어갑니다.	펜을 집어 건전지를 보여주는 디테일	CU	AAAA 건전지 1개	
필압은 애플 펜슬 상위 50% 정도 느낌, PDF·간단 메모는 무난합니다.	빠르게 필기하고 문서에 밑줄 긋는 컷	CU	필압 체감 상위 50%	PDF 문서 세팅
전문 일러스트까지는 무리지만, 일상 필기·다이어리엔 충분하죠.	다이어리 앱에 일정을 적어 넣는 컷	CU		다이어리 앱 세팅
데스크톱 모드가 있어 PC처럼 쓸 수 있고, 앱 창을 띄워 멀티태스킹도 가능하죠.	데스크톱 모드와 여러 창이 떠 있는 화면	CU	데스크톱 모드	데스크톱 모드 세팅
