대본	장면	사이즈	자막	코멘트
안녕하세요, 디디딧입니다.	거실 테이블에 놓인 아이디어 탭 11	MS		
지난주에 리뷰했던 레드미 패드 2 9.7,	컷 유지	컷 유지		
그 제품보다 확실히 괜찮은 태블릿을 들고 왔습니다.	기기를 들고 정면을 보여주는 컷	CU		
바로 레노버 아이디어 탭 11이고,	컷 유지	컷 유지		
8기가 램에 펜까지 기본 제공되죠.	전용 펜을 옆에 두고 보여주는 컷	CU	8GB·펜 포함	
그럼 바로 리뷰 시작하겠습니다.	디스플레이 전원을 켜는 모습	CU		
[디자인 및 제원]				
우선 제원부터 빠르게 짚어볼게요.	기기 전체를 테이블 위에 올려놓는 컷	MS		
이번에 가져온 건 매트 버전이고,	컷 유지	컷 유지		
루나 그레이 색상으로만 판매되고 있어요.	후면 매트 질감을 비추는 디테일	CU	루나 그레이	
손에 들었을 때 무게는 480그램,	컷 유지	컷 유지		
11인치라 침대 옆에 둬도 부담 없고요.	측면 실루엣과 협탁 위 풀샷	CU	480g·11인치	
두께는 6.99mm 정도 됩니다.	컷 유지	컷 유지		
화면은 2.5K 해상도에 500니트 밝기,	고화질 영상이 재생되는 전체 화면	CU	2.5K/500nit	고화질 영상 세팅
주사율도 90헤르츠까지 지원하고요.	컷 유지	컷 유지	90Hz	
특히 매트 코팅 저반사 패널이라	창가 밝은 곳에서 화면을 비춰보는 컷	CU	매트 저반사	
창가에서도 빛 반사가 덜 거슬립니다.	컷 유지	컷 유지		
성능 쪽은 디멘시티 6300에	시스템 정보 창에서 칩셋을 보여주는 화면	CU	Dimensity 6300	
램 8기가, 저장공간 128기가고	컷 유지	컷 유지	128GB	
마이크로 SD로 최대 2테라까지	유심 핀으로 SD 슬롯을 여는 디테일	CU	최대 2TB	유심 핀 세팅
용량을 늘릴 수 있어요.	컷 유지	컷 유지		
배터리는 7040mAh, 충전은	하단 단자부를 비추는 컷	CU	7040mAh	
USB-C 20W, 스피커는 4개입니다.	스피커 홀을 훑어보는 디테일	CU	4스피커	
카메라는 전·후면 각각	전·후면 렌즈 위치를 짧게 보여주는 컷	CU	5MP/8MP	
5MP·8MP 싱글 렌즈가 달려 있어요.	컷 유지	컷 유지		
[실사용 및 한계점]				
이제 직접 써 보면서 느낀 점인데요.	책상 위 태블릿을 켜는 모습	MS		
