대본	장면	사이즈	자막	코멘트
안녕하세요, 디디딧입니다.	거실 테이블에 놓인 아이디어 탭 11	MS		
지난주에 리뷰했던 레드미 패드 2 9.7,	컷 유지	컷 유지		
그 제품보다 확실히 괜찮은 태블릿을 들고 왔습니다.	기기를 들고 정면을 보여주는 컷	CU		
바로 레노버 아이디어 탭 11이고,	컷 유지	컷 유지		
8기가 램에 펜까지 기본 제공되죠.	전용 펜을 옆에 두고 보여주는 컷	CU	8GB·펜 포함	
그럼 바로 리뷰 시작하겠습니다.	디스플레이 전원을 켜는 모습	CU		
[디자인 및 제원]				
우선 제원 부터 빠르게 살펴보겠습니다				
제가 가져온 메트 버전은 루나 그레이 단일 색상으로 판매하고 있는데요	컷 유지	컷 유지		
무게는 480g에 디스플레이는 11인치, 두께는 6.99mm입니다.	기기 후면과 측면 실루엣을 보여주는 컷	CU	480g·11인치	
전면 디스플레이는 2.5K 해상도의 500니트 밝기를 지원하고요 주사율은 90Hz입니다	컷 유지	컷 유지		
매트 코팅에 저반사 패널이 적용돼 빛 반사 없이 잘 보입니다	고화질 영상 재생과 창가 화면을 비추는 컷	CU	2.5K/500nit/90Hz	고화질 영상 세팅
다음은 성능인데요,				
칩셋은 디멘시티 6300를 탑재했고	컷 유지	컷 유지		
램은 8기가에 내장 기본 메모리 용량 128gb 입니다	컷 유지	컷 유지		
최대 2테라바이트까지 확장 가능한	컷 유지	컷 유지		
마이크로 sd슬롯도 있습니다.	시스템 정보 창과 SD 슬롯을 보여주는 컷	CU	Dimensity 6300·2TB	유심 핀 세팅
배터리 용량은 7040mAh 이고,	컷 유지	컷 유지		
USB-C 20W 충전 단자 1개와 총 4개의 스피커 홀 구성입니다.	컷 유지	컷 유지		
카메라는 전·후면에 각각 5메가픽셀과 8메가픽셀 해상도의 싱글 렌즈가 탑재됐습니다.	전·후면 렌즈 위치를 짧게 보여주는 컷	CU	5MP/8MP	
[실사용 및 한계점]				
우선 매트 패널이라 해가 드는 곳에서 봐도	컷 유지	컷 유지		
빛 반사가 매우 적어 눈이 편했습니다	펜 필기와 소파에서 보는 풀샷을 이어 보여주는 컷	WS	매트 패널 필기감	메모 앱 세팅
전용 펜은 기본 구성품이고,	컷 유지	컷 유지		
내부에 AAAA 건전지 1개가 들어갑니다.	펜을 집어 건전지를 보여주는 디테일	CU	AAAA 건전지 1개	
