대본	장면	사이즈	자막	코멘트
[액세서리 및 명확한 한계점]
레노버 정품 키보드 케이스도	키보드 케이스와 태블릿을 책상에 나란히 놓은 컷	MS		키보드 케이스 세팅
직접 구매해 사용해 봤는데요.	컷 유지	컷 유지
쿠팡 기준 약 6만 원이고	키보드 케이스를 태블릿에 끼우는 장착 컷	CU	약 59,900원
루나 그레이 단일 색상입니다.	컷 유지	컷 유지
장착해도 두께가 얇아 휴대가 편했고	키보드 케이스를 연 채 들어올려 보는 모습	CU
키감과 펜 수납 공간은 꽤 괜찮았습니다.	펜 수납 공간에 펜을 넣었다 빼는 디테일	CU
문서 작업이 잦은 분들에겐 확실히 쓸모 있죠.	화면에 텍스트가 입력되는 타이핑 클로즈업	CU
하지만 커버 각도 조절이 안 되고	케이스를 여러 각도로 세워보지만 고정 안 되는 연출	MS
닫을 때 잠금 자석도 없어서	커버를 덮었을 때 흐물거리며 닫히는 모습	CU
커버 마감이 좀 아쉽습니다.	컷 유지	컷 유지
키보드만 분리할 수도 없어서	케이스 전체를 태블릿에서 분리하는 동작	CU
타이핑 없을 땐 통째로 벗겨야 합니다.	컷 유지	컷 유지
영상 시청 위주라면 굳이 살 필요 없습니다.	키보드 케이스를 치워 두고 영상만 재생하는 풀샷	WS
[총평]
레노버 아이디어 탭 11의 현재 판매가는 무척 매력적입니다.	온라인 쇼핑몰의 기기 판매 페이지를 스크롤하는 화면	CU	합리적 판매가	쇼핑몰 세팅
8기가 램과 128기가 스토리지에 펜까지 주는데도 말이죠.	컷 유지	컷 유지
미디어 소비용으로 부담 없이 구매할 수 있는 합리적 가격이죠.	컷 유지	컷 유지
비슷한 스펙의 타 브랜드 기기들과 비교해도 경쟁력이 확실합니다.	태블릿을 들고 화면을 보며 고개를 끄덕이는 모습	MS
묻지마 저가형 제품들보다 마감과 화면 품질이 훨씬 뛰어나고,	컷 유지	컷 유지
전용 펜까지 기본 제공되는 점도 큰 메리트죠.	전용 펜과 태블릿을 함께 든 채 보여주는 컷	CU	전용 펜 기본 제공
다만 고사양 게임이나 전문 필기엔 한계가 분명합니다.	게임과 필기 화면을 빠르게 교차 보여주는 컷	MS
퇴근 후 영상·웹서핑용 서브 태블릿이 필요한 분께	소파에 기대 영상을 보는 편안한 풀샷	WS
디디딧 추천 등급 10점 만점에 7.5점입니다.	평점 그래픽이 화면에 뜨는 마감 연출	CU	추천 7.5/10
오늘 준비한 리뷰는 여기까지입니다.	책상 위 태블릿을 정리하며 마무리하는 모습	MS
영상 보시고 궁금한 점이나	컷 유지	컷 유지
직접 써보신 후기가 있다면 댓글로 공유해 주세요.	컷 유지	컷 유지
구독과 좋아요는 다음 리뷰 제작에 큰 힘이 됩니다.	컷 유지	컷 유지
오늘 소개해드린 제품의 장단점과 평점을 정리해드리며	핵심 장단점이 정리된 그래픽 화면	CU
다음 영상에서 뵙겠습니다.	엔딩 로고가 뜨는 마무리 컷	MS
