대본	장면	사이즈	자막	코멘트
안녕하세요, 디디딧입니다.	거실 테이블에 놓인 아이디어 탭 11	MS		
지난주에 리뷰했던 레드미 패드 2 9.7,	컷 유지	컷 유지		
그 제품보다 확실히 괜찮은 태블릿을 들고 왔습니다.	기기를 들고 정면을 보여주는 컷	CU		
바로 레노버 아이디어 탭 11 인데요.	컷 유지	컷 유지		
8기가 램에 전용 펜까지 기본 제공되죠.	전용 펜을 옆에 두고 보여주는 컷	CU	8GB·펜 포함	
그럼 바로 리뷰 시작하겠습니다.	디스플레이 전원을 켜는 모습	CU		
[디자인 및 폼펙터]				
루나 그레이 매트 마감, 무게 480그램입니다.	기기 후면 매트 질감을 비추는 디테일 컷	CU	480g	
11인치 16대10 비율, 두께 6.99밀리미터죠.	측면 실루엣을 보여주는 프로필 컷	CU	11인치	
전면은 2.5K 해상도, 500니트, 90헤르츠입니다.	고화질 영상이 재생되는 전체 화면	CU	2.5K/500nit/90Hz	고화질 영상 세팅
매트 코팅 패널이라 빛 반사가 적습니다.	창가 밝은 곳에서 화면을 비춰보는 컷	CU	매트 저반사 패널	
칩셋은 디멘시티 6300, 램 8기가입니다.	시스템 정보 창에서 칩셋을 보여주는 화면	CU	Dimensity 6300	
내장 128기가, microSD 최대 2테라 확장.	유심 핀으로 SD 슬롯을 여는 디테일	CU	128GB·2TB 확장	유심 핀 세팅
배터리 7040밀리암페어시, 충전은 USB-C 20와트.	하단 단자부와 배터리 아이콘을 보여주는 컷	CU	7040mAh·20W	
하단 USB-C 1개, 상하 4스피커 구성입니다.	단자부와 스피커 홀을 훑어보는 컷	CU	USB-C·4스피커	
전면 5MP·후면 8MP 싱글 렌즈 탑재됐습니다.	전·후면 렌즈 위치를 짧게 보여주는 컷	CU	5MP/8MP	
[실사용 및 한계점]				
매트 패널 덕에 필기할 때 눈이 편합니다.	밝은 화면 위에 펜으로 글씨를 쓰는 컷	CU	매트 패널 필기감	메모 앱 세팅
빛 반사가 적어 소파에서 보기도 좋았죠.	소파에 기대 화면을 보는 편안한 풀샷	WS		
전용 펜은 기본 구성품으로 들어 있습니다.	펜을 집어 드는 손을 보여주는 컷	CU	전용 펜 기본 제공	
펜 내부에는 AAAA 건전지 1개가 들어갑니다.	펜 끝을 열어 건전지를 보여주는 디테일	CU	AAAA 건전지 1개	
